ASSEMBLY_RUN,SAMPLE_NAME,ct_modified,Prefilt_reads,set,ASSEMBLY_QUALITY
FAP73476_01,PV44711,25.65416085,1085,ALL,Passed
FAP73476_01,PV44714,22.377852315,463,BM,Passed
FAP73476_01,PV44715,25.787185965,2054,ALL,Passed
FAP73476_01,PV44716,26.110244774999998,1221,ALL,Passed
FAP73476_01,PV44719,17.262171215000002,1711,ALL,Passed
FAP73476_01,PV44721,21.46581432,1630,ALL,Passed
FAP73476_01,PV44723,17.54852546,1160,ALL,Passed
FAP73476_01,PV44724,31.784785465,115,ALL,Failed
FAP73476_01,PV44725,18.747270479999997,679,ALL,Passed
FAP73476_01,PV44726,25.619889725,1305,ALL,Passed
FAP73476_01,PV44727,30.158216715000002,102,ALL,Failed
FAP73476_01,PV44728,16.23698355,1553,ALL,Passed
FAP73476_01,PV44729,25.21126006,867,ALL,Passed
FAP73476_01,PV44730,16.76364569,534,ALL,Passed
FAP73476_01,PV44731,14.675191515,420,ALL,Passed
FAP73476_01,PV44732,28.754970524999997,133,ALL,Failed
FAP73476_01,PV44733,18.794411125,283,ALL,Passed
FAP73476_01,PV44734,24.96362863,145,ALL,Failed
FAP73476_01,PV44736,20.691594365,200,ALL,Failed
FAP73476_01,PV44739,15.898025539999999,1626,ALL,Passed
FAP73476_01,PV44741,24.862353284999998,421,ALL,Passed
FAP73476_01,PV44742,25.93073136,542,ALL,Passed
FAP73476_01,PV44745,NA,1301,ALL,Passed
FAP73476_01,PV44746,NA,2511,ALL,Passed
FAP73476_01,PV44747,NA,1069,ALL,Passed
FAP73476_01,PV44751,32.457155310000005,317,ALL,Passed
FAP73476_01,PV44752,20.024626245,550,ALL,Passed
FAP73476_01,PV44755,15.44486197,2089,ALL,Passed
FAP73476_01,PV44757,NA,1463,ALL,Passed
FAP73476_01,PV44759,20.450829895,1843,ALL,Passed
FAP73476_01,PV44762,23.537578585,806,BM,Passed
FAP73476_01,PV44763,22.054617285,298,ALL,Passed
FAP73476_01,PV44764,16.43731944,679,BM,Passed
FAP73476_01,PV44765,22.972932355,1570,ALL,Passed
FAP73476_01,PV44766,22.18927037,419,BM,Passed
FAP73476_01,PV44768,28.467828545,323,ALL,Passed
FAP73476_01,PV44769,21.00251582,1019,ALL,Passed
