clade_who,lineage_display.final,ASSEMBLY_PIPELINE,week,n,Frequency
Omicron,XBB,SpikeID,2023-04-02,1,0.14285714285714285
Omicron,XBB,SpikeID,2022-11-13,7,0.0945945945945946
Omicron,XBB,SpikeID,2023-03-26,1,0.045454545454545456
Omicron,XBB,SpikeID,2023-07-23,3,0.14285714285714285
Omicron,XBB,SpikeID,2023-02-05,1,0.02127659574468085
Omicron,XBB,SpikeID,2022-10-09,2,0.044444444444444446
Omicron,XBB,SpikeID,2023-03-05,1,0.030303030303030304
Omicron,XBB,SpikeID,2023-08-13,5,0.11363636363636363
Omicron,XBB,SpikeID,2022-12-04,6,0.11320754716981132
Omicron,XBB,SpikeID,2023-10-22,4,0.0784313725490196
Omicron,XBB,SpikeID,2022-12-25,1,0.016666666666666666
Omicron,XBB,SpikeID,2023-06-25,1,0.08333333333333333
Omicron,XBB,SpikeID,2023-10-15,2,0.047619047619047616
Omicron,XBB,SpikeID,2023-05-14,1,0.06666666666666667
Omicron,XBB,SpikeID,2023-10-08,7,0.10144927536231885
Omicron,XBB,SpikeID,2023-08-27,8,0.10526315789473684
Omicron,XBB,SpikeID,2023-07-09,2,0.14285714285714285
Omicron,XBB,SpikeID,2023-12-03,1,0.07142857142857142
Omicron,XBB,SpikeID,2023-04-09,1,0.08333333333333333
Omicron,XBB,SpikeID,2022-11-20,9,0.12857142857142856
Omicron,XBB,SpikeID,2023-02-26,1,0.04
Omicron,XBB,SpikeID,2023-09-10,6,0.0759493670886076
Omicron,XBB,SpikeID,2023-09-03,7,0.1111111111111111
Omicron,XBB,SpikeID,2023-10-29,2,0.05
Omicron,XBB,SpikeID,2023-05-07,1,0.043478260869565216
Omicron,XBB,SpikeID,2022-10-16,1,0.1111111111111111
Omicron,XBB,SpikeID,2022-11-27,5,0.06493506493506493
Omicron,XBB,SpikeID,2023-04-30,3,0.07142857142857142
Omicron,XBB,SpikeID,2023-09-17,4,0.12121212121212122
Omicron,XBB,SpikeID,2023-07-16,1,0.058823529411764705
Omicron,XBB,SpikeID,2023-07-30,7,0.2916666666666667
Omicron,XBB.1.16,SpikeID,2023-10-22,7,0.13725490196078433
Omicron,XBB.1.16,SpikeID,2023-09-10,7,0.08860759493670886
Omicron,XBB.1.16,SpikeID,2023-07-02,2,0.2
Omicron,XBB.1.16,SpikeID,2023-04-23,2,0.10526315789473684
Omicron,XBB.1.16,SpikeID,2023-08-27,14,0.18421052631578946
Omicron,XBB.1.16,SpikeID,2023-08-13,9,0.20454545454545456
Omicron,XBB.1.16,SpikeID,2023-05-21,1,0.14285714285714285
Omicron,XBB.1.16,SpikeID,2023-12-31,2,0.0425531914893617
Omicron,XBB.1.16,SpikeID,2023-11-05,1,0.047619047619047616
Omicron,XBB.1.16,SpikeID,2023-08-20,14,0.21212121212121213
Omicron,XBB.1.16,SpikeID,2023-10-08,7,0.10144927536231885
Omicron,XBB.1.16,SpikeID,2023-10-15,4,0.09523809523809523
Omicron,XBB.1.16,SpikeID,2023-04-30,5,0.11904761904761904
Omicron,XBB.1.16,SpikeID,2023-05-28,1,0.125
Omicron,XBB.1.16,SpikeID,2023-09-17,4,0.12121212121212122
Omicron,XBB.1.16,SpikeID,2023-07-09,2,0.14285714285714285
Omicron,XBB.1.16,SpikeID,2023-09-24,1,0.047619047619047616
Omicron,XBB.1.16,SpikeID,2023-07-30,6,0.25
Omicron,XBB.1.16,SpikeID,2023-06-25,5,0.4166666666666667
Omicron,XBB.1.16,SpikeID,2023-06-11,5,0.5555555555555556
Omicron,XBB.1.16,SpikeID,2023-03-26,1,0.045454545454545456
Omicron,XBB.1.16,SpikeID,2023-07-23,4,0.19047619047619047
Omicron,XBB.1.16,SpikeID,2023-09-03,8,0.12698412698412698
Omicron,XBB.1.16,SpikeID,2023-05-07,5,0.21739130434782608
Omicron,XBB.1.16,SpikeID,2023-07-16,4,0.23529411764705882
Omicron,XBB.1.16,SpikeID,2023-06-04,3,0.14285714285714285
Omicron,XBB.1.5,SpikeID,2023-06-04,15,0.7142857142857143
Omicron,XBB.1.5,SpikeID,2023-10-29,3,0.075
Omicron,XBB.1.5,SpikeID,2023-12-17,1,0.14285714285714285
Omicron,XBB.1.5,SpikeID,2023-04-16,13,0.8125
Omicron,XBB.1.5,SpikeID,2023-10-08,6,0.08695652173913043
Omicron,XBB.1.5,SpikeID,2023-03-12,22,0.9565217391304348
Omicron,XBB.1.5,SpikeID,2023-03-26,20,0.9090909090909091
Omicron,XBB.1.5,SpikeID,2023-04-02,6,0.8571428571428571
Omicron,XBB.1.5,SpikeID,2023-05-07,13,0.5652173913043478
Omicron,XBB.1.5,SpikeID,2023-12-10,1,0.058823529411764705
Omicron,XBB.1.5,SpikeID,2023-08-20,2,0.030303030303030304
Omicron,XBB.1.5,SpikeID,2023-05-21,6,0.8571428571428571
Omicron,XBB.1.5,SpikeID,2023-12-31,1,0.02127659574468085
Omicron,XBB.1.5,SpikeID,2023-06-11,4,0.4444444444444444
Omicron,XBB.1.5,SpikeID,2023-10-22,5,0.09803921568627451
Omicron,XBB.1.5,SpikeID,2023-06-18,4,0.8
Omicron,XBB.1.5,SpikeID,2022-12-25,44,0.7333333333333333
Omicron,XBB.1.5,SpikeID,2023-03-19,10,0.7692307692307693
Omicron,XBB.1.5,SpikeID,2023-09-03,8,0.12698412698412698
Omicron,XBB.1.5,SpikeID,2022-12-04,7,0.1320754716981132
Omicron,XBB.1.5,SpikeID,2023-10-01,2,0.04878048780487805
Omicron,XBB.1.5,SpikeID,2023-02-26,21,0.84
Omicron,XBB.1.5,SpikeID,2023-08-27,6,0.07894736842105263
Omicron,XBB.1.5,SpikeID,2023-04-09,9,0.75
Omicron,XBB.1.5,SpikeID,2023-01-22,33,0.9428571428571428
Omicron,XBB.1.5,SpikeID,2023-07-16,7,0.4117647058823529
Omicron,XBB.1.5,SpikeID,2023-09-10,10,0.12658227848101267
Omicron,XBB.1.5,SpikeID,2023-07-02,7,0.7
Omicron,XBB.1.5,SpikeID,2023-02-12,31,0.9393939393939394
Omicron,XBB.1.5,SpikeID,2023-08-13,9,0.20454545454545456
Omicron,XBB.1.5,SpikeID,2023-04-23,15,0.7894736842105263
Omicron,XBB.1.5,SpikeID,2023-01-15,61,0.8714285714285714
Omicron,XBB.1.5,SpikeID,2022-11-13,2,0.02702702702702703
Omicron,XBB.1.5,SpikeID,2022-11-27,19,0.24675324675324675
Omicron,XBB.1.5,SpikeID,2023-05-14,14,0.9333333333333333
Omicron,XBB.1.5,SpikeID,2023-07-23,4,0.19047619047619047
Omicron,XBB.1.5,SpikeID,2023-03-05,32,0.9696969696969697
Omicron,XBB.1.5,SpikeID,2023-05-28,6,0.75
Omicron,XBB.1.5,SpikeID,2023-01-29,67,0.8589743589743589
Omicron,XBB.1.5,SpikeID,2023-01-01,9,0.75
Omicron,XBB.1.5,SpikeID,2023-07-09,7,0.5
Omicron,XBB.1.5,SpikeID,2023-04-30,33,0.7857142857142857
Omicron,XBB.1.5,SpikeID,2023-02-05,40,0.851063829787234
Omicron,XBB.1.5,SpikeID,2023-09-17,2,0.06060606060606061
Omicron,XBB.1.5,SpikeID,2023-09-24,3,0.14285714285714285
Omicron,XBB.1.5,SpikeID,2023-10-15,6,0.14285714285714285
Omicron,XBB.1.5,SpikeID,2023-02-19,46,0.9583333333333334
Omicron,XBB.1.5,SpikeID,2022-11-20,6,0.08571428571428572
Omicron,XBB.1.5,SpikeID,2023-07-30,4,0.16666666666666666
Omicron,XBB.1.5,SpikeID,2023-06-25,1,0.08333333333333333
Omicron,XBB.1.9,SpikeID,2023-07-02,1,0.1
Omicron,XBB.1.9,SpikeID,2023-06-18,1,0.2
Omicron,XBB.1.9,SpikeID,2023-06-04,2,0.09523809523809523
Omicron,XBB.1.9,SpikeID,2023-12-24,1,0.02631578947368421
Omicron,XBB.1.9,SpikeID,2023-10-22,8,0.1568627450980392
Omicron,XBB.1.9,SpikeID,2023-08-20,31,0.4696969696969697
Omicron,XBB.1.9,SpikeID,2023-04-16,1,0.0625
Omicron,XBB.1.9,SpikeID,2023-03-19,2,0.15384615384615385
Omicron,XBB.1.9,SpikeID,2023-09-10,24,0.3037974683544304
Omicron,XBB.1.9,SpikeID,2023-08-13,10,0.22727272727272727
Omicron,XBB.1.9,SpikeID,2023-10-08,14,0.2028985507246377
Omicron,XBB.1.9,SpikeID,2023-04-23,1,0.05263157894736842
Omicron,XBB.1.9,SpikeID,2023-07-16,3,0.17647058823529413
Omicron,XBB.1.9,SpikeID,2023-07-23,8,0.38095238095238093
Omicron,XBB.1.9,SpikeID,2023-10-29,6,0.15
Omicron,XBB.1.9,SpikeID,2023-11-05,6,0.2857142857142857
Omicron,XBB.1.9,SpikeID,2023-09-17,13,0.3939393939393939
Omicron,XBB.1.9,SpikeID,2023-10-01,13,0.3170731707317073
Omicron,XBB.1.9,SpikeID,2023-08-27,32,0.42105263157894735
Omicron,XBB.1.9,SpikeID,2022-12-25,1,0.016666666666666666
Omicron,XBB.1.9,SpikeID,2023-11-19,1,0.058823529411764705
Omicron,XBB.1.9,SpikeID,2023-10-15,10,0.23809523809523808
Omicron,XBB.1.9,SpikeID,2023-04-09,1,0.08333333333333333
